,ds,yhat_upper,yhat
895,2024-02-03,2.0,0.0
896,2024-02-04,2.0,0.0
897,2024-02-05,2.0,1.0
898,2024-02-06,2.0,1.0
899,2024-02-07,2.0,1.0
900,2024-02-08,2.0,0.0
901,2024-02-09,1.0,0.0
902,2024-02-10,2.0,1.0
903,2024-02-11,2.0,1.0
904,2024-02-12,2.0,1.0
905,2024-02-13,2.0,1.0
906,2024-02-14,2.0,1.0
907,2024-02-15,2.0,1.0
908,2024-02-16,2.0,0.0
909,2024-02-17,2.0,1.0
910,2024-02-18,2.0,1.0
911,2024-02-19,2.0,1.0
912,2024-02-20,2.0,1.0
913,2024-02-21,2.0,1.0
914,2024-02-22,2.0,1.0
915,2024-02-23,2.0,1.0
916,2024-02-24,2.0,1.0
917,2024-02-25,2.0,1.0
918,2024-02-26,2.0,1.0
919,2024-02-27,2.0,1.0
920,2024-02-28,2.0,1.0
921,2024-02-29,2.0,1.0
922,2024-03-01,2.0,1.0
923,2024-03-02,2.0,1.0
924,2024-03-03,2.0,1.0
925,2024-03-04,2.0,1.0
926,2024-03-05,2.0,1.0
927,2024-03-06,2.0,1.0
928,2024-03-07,2.0,1.0
929,2024-03-08,2.0,1.0
930,2024-03-09,2.0,1.0
931,2024-03-10,2.0,1.0
932,2024-03-11,2.0,1.0
933,2024-03-12,2.0,1.0
934,2024-03-13,2.0,1.0
935,2024-03-14,2.0,1.0
936,2024-03-15,2.0,1.0
937,2024-03-16,2.0,1.0
938,2024-03-17,2.0,1.0
939,2024-03-18,2.0,1.0
940,2024-03-19,2.0,1.0
941,2024-03-20,2.0,1.0
942,2024-03-21,2.0,1.0
943,2024-03-22,2.0,1.0
944,2024-03-23,2.0,1.0
945,2024-03-24,2.0,1.0
946,2024-03-25,2.0,1.0
947,2024-03-26,2.0,1.0
948,2024-03-27,2.0,1.0
949,2024-03-28,2.0,1.0
950,2024-03-29,2.0,1.0
951,2024-03-30,2.0,1.0
952,2024-03-31,2.0,1.0
953,2024-04-01,2.0,1.0
954,2024-04-02,2.0,1.0
955,2024-04-03,2.0,1.0
956,2024-04-04,2.0,1.0
957,2024-04-05,2.0,1.0
958,2024-04-06,2.0,1.0
959,2024-04-07,2.0,1.0
960,2024-04-08,2.0,1.0
961,2024-04-09,2.0,1.0
962,2024-04-10,2.0,1.0
963,2024-04-11,2.0,1.0
964,2024-04-12,2.0,1.0
965,2024-04-13,2.0,1.0
966,2024-04-14,2.0,1.0
967,2024-04-15,2.0,1.0
968,2024-04-16,2.0,1.0
969,2024-04-17,2.0,1.0
970,2024-04-18,2.0,1.0
971,2024-04-19,2.0,1.0
972,2024-04-20,2.0,1.0
973,2024-04-21,2.0,1.0
974,2024-04-22,2.0,1.0
975,2024-04-23,2.0,1.0
976,2024-04-24,2.0,1.0
977,2024-04-25,2.0,1.0
978,2024-04-26,2.0,1.0
979,2024-04-27,2.0,1.0
980,2024-04-28,2.0,1.0
981,2024-04-29,2.0,1.0
982,2024-04-30,2.0,1.0
983,2024-05-01,2.0,1.0
984,2024-05-02,2.0,1.0
985,2024-05-03,2.0,1.0
986,2024-05-04,2.0,1.0
987,2024-05-05,2.0,1.0
988,2024-05-06,2.0,1.0
989,2024-05-07,2.0,1.0
990,2024-05-08,2.0,1.0
991,2024-05-09,2.0,1.0
992,2024-05-10,2.0,1.0
993,2024-05-11,2.0,1.0
994,2024-05-12,2.0,1.0
995,2024-05-13,2.0,1.0
996,2024-05-14,2.0,1.0
997,2024-05-15,2.0,1.0
998,2024-05-16,2.0,1.0
999,2024-05-17,2.0,1.0
1000,2024-05-18,2.0,1.0
1001,2024-05-19,2.0,1.0
1002,2024-05-20,2.0,1.0
1003,2024-05-21,2.0,1.0
1004,2024-05-22,3.0,1.0
1005,2024-05-23,2.0,1.0
1006,2024-05-24,2.0,1.0
1007,2024-05-25,2.0,1.0
1008,2024-05-26,2.0,1.0
1009,2024-05-27,3.0,1.0
1010,2024-05-28,3.0,1.0
1011,2024-05-29,2.0,1.0
1012,2024-05-30,2.0,1.0
1013,2024-05-31,2.0,1.0
1014,2024-06-01,2.0,1.0
1015,2024-06-02,3.0,1.0
1016,2024-06-03,2.0,1.0
1017,2024-06-04,3.0,2.0
1018,2024-06-05,3.0,1.0
1019,2024-06-06,2.0,1.0
1020,2024-06-07,2.0,1.0
1021,2024-06-08,2.0,1.0
1022,2024-06-09,2.0,1.0
1023,2024-06-10,2.0,1.0
1024,2024-06-11,3.0,1.0
1025,2024-06-12,3.0,1.0
1026,2024-06-13,2.0,1.0
1027,2024-06-14,2.0,1.0
1028,2024-06-15,2.0,1.0
1029,2024-06-16,2.0,1.0
1030,2024-06-17,2.0,1.0
1031,2024-06-18,3.0,1.0
1032,2024-06-19,3.0,1.0
1033,2024-06-20,2.0,1.0
1034,2024-06-21,2.0,1.0
1035,2024-06-22,2.0,1.0
1036,2024-06-23,2.0,1.0
1037,2024-06-24,2.0,1.0
1038,2024-06-25,2.0,1.0
1039,2024-06-26,2.0,1.0
1040,2024-06-27,2.0,1.0
1041,2024-06-28,2.0,1.0
1042,2024-06-29,2.0,1.0
1043,2024-06-30,2.0,1.0
1044,2024-07-01,2.0,1.0
1045,2024-07-02,2.0,1.0
1046,2024-07-03,2.0,1.0
1047,2024-07-04,2.0,1.0
1048,2024-07-05,2.0,1.0
1049,2024-07-06,2.0,1.0
1050,2024-07-07,2.0,1.0
1051,2024-07-08,2.0,1.0
1052,2024-07-09,2.0,1.0
1053,2024-07-10,2.0,1.0
